Model,Pattern,SIC,SAT
CESM1_LM,CO2,0.42,0.41
CESM1_LM,IPO,0.53,0.57
CESM1_LM,AMO,0.34,0.23
CESM2,CO2,0.38,0.75
CESM2,IPO,0.46,0.65
CESM2,AMO,0.06,0.14
CNRM-CM6-1,CO2,0.52,0.76
CNRM-CM6-1,IPO,0.74,0.52
CNRM-CM6-1,AMO,0.26,0.19
CanESM2,CO2,0.39,0.72
CanESM2,IPO,0.44,0.52
CanESM2,AMO,0.06,0.03
CanESM5,CO2,0.31,0.62
CanESM5,IPO,0.42,0.59
CanESM5,AMO,0.24,0.5
IPSL-CM6A-LR,CO2,0.55,0.22
IPSL-CM6A-LR,IPO,0.21,0.29
IPSL-CM6A-LR,AMO,0.52,0.21
MPI-ESM,CO2,0.19,0.8
MPI-ESM,IPO,0.67,0.32
MPI-ESM,AMO,0.31,0.09
NorCPM1,CO2,0.17,0.61
NorCPM1,IPO,0.24,0.47
NorCPM1,AMO,0.27,0.04
UKESM1-0-LL,CO2,0.4,0.58
UKESM1-0-LL,IPO,0.6,0.41
UKESM1-0-LL,AMO,0.24,0.08
